Date,Open,High,Low,Close,Adj Close,Volume
12/11/2001,10.44,10.44,10.44,10.44,5.528287,0
13/11/2001,10.42,10.42,10.42,10.42,5.517694,0
14/11/2001,10.37,10.37,10.37,10.37,5.491217,0
15/11/2001,10.28,10.28,10.28,10.28,5.443567,0
16/11/2001,10.22,10.22,10.22,10.22,5.411787,0
19/11/2001,10.27,10.27,10.27,10.27,5.438265,0
20/11/2001,10.24,10.24,10.24,10.24,5.422381,0
21/11/2001,10.2,10.2,10.2,10.2,5.401198,0
23/11/2001,10.18,10.18,10.18,10.18,5.39061,0
26/11/2001,10.17,10.17,10.17,10.17,5.385313,0
27/11/2001,10.19,10.19,10.19,10.19,5.395905,0
28/11/2001,10.19,10.19,10.19,10.19,5.395905,0
29/11/2001,10.25,10.25,10.25,10.25,5.427672,0
30/11/2001,10.26,10.26,10.26,10.26,5.432973,0
03/12/2001,10.26,10.26,10.26,10.26,5.432973,0
04/12/2001,10.29,10.29,10.29,10.29,5.448859,0
05/12/2001,10.19,10.19,10.19,10.19,5.395905,0
06/12/2001,10.15,10.15,10.15,10.15,5.374721,0
07/12/2001,10.09,10.09,10.09,10.09,5.342944,0
10/12/2001,10.1,10.1,10.1,10.1,5.348247,0
11/12/2001,10.12,10.12,10.12,10.12,5.358837,0
12/12/2001,10.16,10.16,10.16,10.16,5.380018,0
13/12/2001,10.12,10.12,10.12,10.12,5.358837,0
14/12/2001,10.08,10.08,10.08,10.08,5.337656,0
17/12/2001,10.08,10.08,10.08,10.08,5.337656,0
18/12/2001,10.09,10.09,10.09,10.09,5.342944,0
19/12/2001,10.13,10.13,10.13,10.13,5.364131,0
20/12/2001,10.13,10.13,10.13,10.13,5.364131,0
21/12/2001,10.12,10.12,10.12,10.12,5.358837,0
24/12/2001,10.1,10.1,10.1,10.1,5.348247,0
26/12/2001,10.08,10.08,10.08,10.08,5.337656,0
27/12/2001,10.11,10.11,10.11,10.11,5.35354,0
28/12/2001,10.1,10.1,10.1,10.1,5.348247,0
31/12/2001,10.14,10.14,10.14,10.14,5.369427,0
02/01/2002,10.1,10.1,10.1,10.1,5.348247,0
03/01/2002,10.12,10.12,10.12,10.12,5.358837,0
04/01/2002,10.12,10.12,10.12,10.12,5.358837,0
07/01/2002,10.16,10.16,10.16,10.16,5.380018,0
08/01/2002,10.16,10.16,10.16,10.16,5.380018,0
09/01/2002,10.17,10.17,10.17,10.17,5.385313,0
10/01/2002,10.22,10.22,10.22,10.22,5.411787,0
11/01/2002,10.26,10.26,10.26,10.26,5.432973,0
14/01/2002,10.24,10.24,10.24,10.24,5.422381,0
15/01/2002,10.25,10.25,10.25,10.25,5.427672,0
16/01/2002,10.24,10.24,10.24,10.24,5.422381,0
17/01/2002,10.2,10.2,10.2,10.2,5.401198,0
18/01/2002,10.22,10.22,10.22,10.22,5.411787,0
22/01/2002,10.21,10.21,10.21,10.21,5.406495,0
23/01/2002,10.18,10.18,10.18,10.18,5.39061,0
24/01/2002,10.17,10.17,10.17,10.17,5.385313,0
25/01/2002,10.16,10.16,10.16,10.16,5.380018,0
28/01/2002,10.16,10.16,10.16,10.16,5.380018,0
29/01/2002,10.2,10.2,10.2,10.2,5.401198,0
30/01/2002,10.19,10.19,10.19,10.19,5.395905,0
31/01/2002,10.17,10.17,10.17,10.17,5.385313,0
01/02/2002,10.19,10.19,10.19,10.19,5.395905,0
04/02/2002,10.22,10.22,10.22,10.22,5.411787,0
05/02/2002,10.21,10.21,10.21,10.21,5.406495,0
06/02/2002,10.19,10.19,10.19,10.19,5.395905,0
07/02/2002,10.18,10.18,10.18,10.18,5.39061,0
08/02/2002,10.21,10.21,10.21,10.21,5.406495,0
11/02/2002,10.2,10.2,10.2,10.2,5.401198,0
12/02/2002,10.18,10.18,10.18,10.18,5.39061,0
13/02/2002,10.16,10.16,10.16,10.16,5.380018,0
14/02/2002,10.18,10.18,10.18,10.18,5.39061,0
15/02/2002,10.21,10.21,10.21,10.21,5.406495,0
19/02/2002,10.2,10.2,10.2,10.2,5.401198,0
20/02/2002,10.2,10.2,10.2,10.2,5.401198,0
21/02/2002,10.2,10.2,10.2,10.2,5.401198,0
22/02/2002,10.22,10.22,10.22,10.22,5.411787,0
25/02/2002,10.21,10.21,10.21,10.21,5.406495,0
26/02/2002,10.18,10.18,10.18,10.18,5.39061,0
27/02/2002,10.22,10.22,10.22,10.22,5.411787,0
28/02/2002,10.21,10.21,10.21,10.21,5.406495,0
01/03/2002,10.17,10.17,10.17,10.17,5.385313,0
04/03/2002,10.16,10.16,10.16,10.16,5.380018,0
05/03/2002,10.16,10.16,10.16,10.16,5.380018,0
06/03/2002,10.15,10.15,10.15,10.15,5.374721,0
07/03/2002,10.1,10.1,10.1,10.1,5.348247,0
08/03/2002,10.05,10.05,10.05,10.05,5.321772,0
11/03/2002,10.05,10.05,10.05,10.05,5.321772,0
12/03/2002,10.05,10.05,10.05,10.05,5.321772,0
13/03/2002,10.07,10.07,10.07,10.07,5.332364,0
14/03/2002,10.01,10.01,10.01,10.01,5.300588,0
15/03/2002,10.02,10.02,10.02,10.02,5.305885,0
18/03/2002,10.04,10.04,10.04,10.04,5.316477,0
19/03/2002,10.04,10.04,10.04,10.04,5.316477,0
20/03/2002,10.01,10.01,10.01,10.01,5.300588,0
21/03/2002,10.02,10.02,10.02,10.02,5.305885,0
22/03/2002,10.01,10.01,10.01,10.01,5.300588,0
25/03/2002,10,10,10,10,5.295294,0
26/03/2002,10.03,10.03,10.03,10.03,5.311177,0
27/03/2002,10.04,10.04,10.04,10.04,5.316477,0
28/03/2002,10,10,10,10,5.295294,0
01/04/2002,9.99,9.99,9.99,9.99,5.29,0
02/04/2002,10.03,10.03,10.03,10.03,5.311177,0
03/04/2002,10.06,10.06,10.06,10.06,5.327065,0
04/04/2002,10.06,10.06,10.06,10.06,5.327065,0
05/04/2002,10.08,10.08,10.08,10.08,5.337656,0
08/04/2002,10.07,10.07,10.07,10.07,5.332364,0
09/04/2002,10.09,10.09,10.09,10.09,5.342944,0
10/04/2002,10.08,10.08,10.08,10.08,5.337656,0
11/04/2002,10.09,10.09,10.09,10.09,5.342944,0
12/04/2002,10.1,10.1,10.1,10.1,5.348247,0
15/04/2002,10.11,10.11,10.11,10.11,5.35354,0
16/04/2002,10.09,10.09,10.09,10.09,5.342944,0
17/04/2002,10.09,10.09,10.09,10.09,5.342944,0
18/04/2002,10.1,10.1,10.1,10.1,5.348247,0
19/04/2002,10.11,10.11,10.11,10.11,5.35354,0
22/04/2002,10.11,10.11,10.11,10.11,5.35354,0
23/04/2002,10.1,10.1,10.1,10.1,5.348247,0
24/04/2002,10.13,10.13,10.13,10.13,5.364131,0
25/04/2002,10.13,10.13,10.13,10.13,5.364131,0
26/04/2002,10.14,10.14,10.14,10.14,5.369427,0
29/04/2002,10.12,10.12,10.12,10.12,5.358837,0
30/04/2002,10.12,10.12,10.12,10.12,5.358837,0
01/05/2002,10.13,10.13,10.13,10.13,5.364131,0
02/05/2002,10.11,10.11,10.11,10.11,5.35354,0
03/05/2002,10.13,10.13,10.13,10.13,5.364131,0
06/05/2002,10.12,10.12,10.12,10.12,5.358837,0
07/05/2002,10.13,10.13,10.13,10.13,5.364131,0
08/05/2002,10.07,10.07,10.07,10.07,5.332364,0
09/05/2002,10.09,10.09,10.09,10.09,5.342944,0
10/05/2002,10.11,10.11,10.11,10.11,5.35354,0
13/05/2002,10.07,10.07,10.07,10.07,5.332364,0
14/05/2002,10.03,10.03,10.03,10.03,5.311177,0
15/05/2002,10.05,10.05,10.05,10.05,5.321772,0
16/05/2002,10.08,10.08,10.08,10.08,5.337656,0
17/05/2002,10.05,10.05,10.05,10.05,5.321772,0
20/05/2002,10.08,10.08,10.08,10.08,5.337656,0
21/05/2002,10.1,10.1,10.1,10.1,5.348247,0
22/05/2002,10.12,10.12,10.12,10.12,5.358837,0
23/05/2002,10.1,10.1,10.1,10.1,5.348247,0
24/05/2002,10.1,10.1,10.1,10.1,5.348247,0
28/05/2002,10.11,10.11,10.11,10.11,5.35354,0
29/05/2002,10.14,10.14,10.14,10.14,5.369427,0
30/05/2002,10.15,10.15,10.15,10.15,5.374721,0
31/05/2002,10.15,10.15,10.15,10.15,5.374721,0
03/06/2002,10.15,10.15,10.15,10.15,5.374721,0
04/06/2002,10.16,10.16,10.16,10.16,5.380018,0
05/06/2002,10.14,10.14,10.14,10.14,5.369427,0
06/06/2002,10.15,10.15,10.15,10.15,5.374721,0
07/06/2002,10.13,10.13,10.13,10.13,5.364131,0
10/06/2002,10.13,10.13,10.13,10.13,5.364131,0
11/06/2002,10.15,10.15,10.15,10.15,5.374721,0
12/06/2002,10.17,10.17,10.17,10.17,5.385313,0
13/06/2002,10.18,10.18,10.18,10.18,5.39061,0
14/06/2002,10.22,10.22,10.22,10.22,5.411787,0
17/06/2002,10.19,10.19,10.19,10.19,5.395905,0
18/06/2002,10.2,10.2,10.2,10.2,5.401198,0
19/06/2002,10.23,10.23,10.23,10.23,5.417083,0
20/06/2002,10.19,10.19,10.19,10.19,5.395905,0
21/06/2002,10.21,10.21,10.21,10.21,5.406495,0
24/06/2002,10.17,10.17,10.17,10.17,5.385313,0
25/06/2002,10.17,10.17,10.17,10.17,5.385313,0
26/06/2002,10.19,10.19,10.19,10.19,5.395905,0
27/06/2002,10.14,10.14,10.14,10.14,5.369427,0
28/06/2002,10.13,10.13,10.13,10.13,5.364131,0
01/07/2002,10.13,10.13,10.13,10.13,5.364131,0
02/07/2002,10.15,10.15,10.15,10.15,5.374721,0
03/07/2002,10.14,10.14,10.14,10.14,5.369427,0
05/07/2002,10.1,10.1,10.1,10.1,5.348247,0
08/07/2002,10.12,10.12,10.12,10.12,5.358837,0
09/07/2002,10.16,10.16,10.16,10.16,5.380018,0
10/07/2002,10.19,10.19,10.19,10.19,5.395905,0
11/07/2002,10.19,10.19,10.19,10.19,5.395905,0
12/07/2002,10.19,10.19,10.19,10.19,5.395905,0
15/07/2002,10.17,10.17,10.17,10.17,5.385313,0
16/07/2002,10.13,10.13,10.13,10.13,5.364131,0
17/07/2002,10.14,10.14,10.14,10.14,5.369427,0
